序号,ID,商品名,厂商,B01重做状态,本地图片,官方来源,官方页/官图URL,本地像素,KB,说明
1,KR-MER-0057,鬼龍紅郎(A/青春が紡ぐ硬い糸/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,pattythree,已落图并写入网页,assets/images/KR-MER-0057.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_1277a345-c518-4bb6-9a6d-ba282bd4633c.jpg?v=1766051937&width=1946,1200×1200,110.2,官方发布来源：Pattythree官方
2,KR-MER-0058,鬼龍紅郎(B/明日へ繋ぐ瘢痕/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,pattythree,已落图并写入网页,assets/images/KR-MER-0058.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_d149d390-a31a-4034-bd8e-0d460b9eb629.jpg?v=1766051937&width=1946,1200×1200,111.8,官方发布来源：Pattythree官方
3,KR-MER-0059,鬼龍紅郎(C/在りし日の風来坊/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,pattythree,已落图并写入网页,assets/images/KR-MER-0059.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_5000935e-c8fa-45cb-b38a-0bf2690ab76f.jpg?v=1766051937&width=1946,1200×1200,104.8,官方发布来源：Pattythree官方
4,KR-MER-0060,鬼龍紅郎(D/欲望の宝石商/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,pattythree,已落图并写入网页,assets/images/KR-MER-0060.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_1560969b-c1ca-4c77-ab10-6571b0f3492a.jpg?v=1766051937&width=1946,1200×1200,111.6,官方发布来源：Pattythree官方
5,KR-MER-0061,鬼龍紅郎(E/剛勇ドラゴン/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,pattythree,已落图并写入网页,assets/images/KR-MER-0061.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_3d349280-92ae-4567-baa1-1e8a1259d6bf.jpg?v=1766051937&width=1946,1200×1200,136.1,官方发布来源：Pattythree官方
6,KR-MER-0062,鬼龍紅郎 SPOTLIGHT SHUFFLE アクリルスタンド 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,pattythree,已落图并写入网页,assets/images/KR-MER-0062.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_d505987c-784c-4ae9-846c-ba457268b566.jpg?v=1766645692&width=1946,1200×1200,120.5,官方发布来源：Pattythree官方
7,KR-MER-0063,鬼龍紅郎 カスタムアイドル キーリング 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,pattythree,已落图并写入网页,assets/images/KR-MER-0063.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_7a6cf907-a9ba-4610-bcdc-5ab43aedabff.jpg?v=1779782574&width=1946,1600×1600,75.1,官方发布来源：Pattythree官方
8,KR-MER-0064,鬼龍紅郎 フェスティバルシリーズ ネームカードホルダー 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,pattythree,已落图并写入网页,assets/images/KR-MER-0064.webp,Pattythree官方,https://pattythree-shop-product.jp/products/pt10-0401,1600×1600,60.9,Pattythree官方精确商品页/角色变体图
9,KR-MER-0065,鬼龍紅郎 スフィアリングシリーズ ヘアクリップ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,pattythree,已落图并写入网页,assets/images/KR-MER-0065.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_20d9d0aa-d04a-48f8-be13-06ad2e088afb.jpg?v=1778493351&width=1946,1600×1600,80.0,官方发布来源：Pattythree官方
10,KR-MER-0066,鬼龍紅郎 P.A.shots!!(ユニットビジュアル) 「10周年展示会 Bright me up!!」 対象商品購入特典,pattythree,已落图并写入网页,assets/images/KR-MER-0066.webp,Pattythree官方,https://cdn.shopify.com/s/files/1/0776/3515/8331/files/2cbdaff31c2bb2040fac4383dd119517.jpg?v=1766647128,1920×789,100.3,官方发布来源：Pattythree官方
11,KR-MER-0144,鬼龍紅郎 10周年展示会 Bright me up!! gracolle CANBA!! ES 10th Anniversary [グループD],pattythree,已落图并写入网页,assets/images/KR-MER-0144.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_dfbc3442-8927-4b10-bc7f-84b83f466c7d.jpg?v=1766052089&width=1946,1600×1600,223.3,官方发布来源：Pattythree官方
12,KR-MER-0308,鬼龍紅郎(A/青春が紡ぐ硬い糸/才能開花後) IDOL SHOWCASE A4クリアファイル＜紅月＞ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,pattythree,已落图并写入网页,assets/images/KR-MER-0308.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_1fa83a74-add1-4b4d-a62b-8ff33f802225.jpg?v=1766051849&width=1946,1200×1200,113.0,官方发布来源：Pattythree官方
13,KR-MER-0309,鬼龍紅郎(B/明日へ繋ぐ瘢痕/才能開花後) IDOL SHOWCASE A4クリアファイル＜紅月＞ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,pattythree,已落图并写入网页,assets/images/KR-MER-0309.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_ddea1e27-e88e-4e58-b0b3-e6d871dd6483.jpg?v=1766051849&width=1946,1200×1200,98.5,官方发布来源：Pattythree官方
14,KR-MER-0310,鬼龍紅郎(C/在りし日の風来坊/才能開花後) IDOL SHOWCASE A4クリアファイル＜紅月＞ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,pattythree,已落图并写入网页,assets/images/KR-MER-0310.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_50a32da8-4b64-4e48-b305-6d138e6de2d5.jpg?v=1766051849&width=1946,1200×1200,103.0,官方发布来源：Pattythree官方
15,KR-MER-0311,鬼龍紅郎(D/欲望の宝石商/才能開花後) IDOL SHOWCASE A4クリアファイル＜紅月＞ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,pattythree,已落图并写入网页,assets/images/KR-MER-0311.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_de0971df-d605-4bd0-ade9-43478560dcb7.jpg?v=1766051849&width=1946,1200×1200,107.4,官方发布来源：Pattythree官方
16,KR-MER-0312,鬼龍紅郎(E/剛勇ドラゴン/才能開花後) IDOL SHOWCASE A4クリアファイル＜紅月＞ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,pattythree,已落图并写入网页,assets/images/KR-MER-0312.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_fac8ccc8-6aa5-497b-b748-0024310b8dc1.jpg?v=1766051849&width=1946,1200×1200,129.4,官方发布来源：Pattythree官方
17,KR-MER-0313,鬼龍紅郎 SPOTLIGHT SHUFFLE A4クリアファイル 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,pattythree,已落图并写入网页,assets/images/KR-MER-0313.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_5836ba45-0f93-4eb8-9fe2-6887b26845ef.jpg?v=1766052055&width=1946,1200×1200,111.5,官方发布来源：Pattythree官方
18,KR-MER-0357,鬼龍紅郎 フェスティバルシリーズ バルーンチャーム 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,pattythree,已落图并写入网页,assets/images/KR-MER-0357.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_0fe780bc-e7a5-4645-9543-1e5638778bd4.jpg?v=1778493380&width=1946,1600×1600,57.1,官方发布来源：Pattythree官方
19,KR-MER-0389,鬼龍紅郎 ケース＆ステッカーセット 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,pattythree,已落图并写入网页,assets/images/KR-MER-0389.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_83bab408-c9fd-45f6-b4d5-95bf6477d2c9.jpg?v=1779782583&width=1946,1600×1600,82.3,官方发布来源：Pattythree官方
20,KR-MER-0572,鬼龍紅郎 「あんさんぶるスターズ!!Bright me up!! バナーバッジコレクション クロステーマ ver. Vol.2」,pattythree,已落图并写入网页,assets/images/KR-MER-0572.webp,Pattythree官方,https://pattythree-shop-product.jp/cdn/shop/files/1_a6e857be-6099-4ad5-8684-b5eff879ee1a.jpg?v=1753355026&width=1946,1600×1600,325.8,官方发布来源：Pattythree官方
21,KR-MER-0260,鬼龍紅郎 「あんさんぶるスターズ!! あんスタ10thフェス×animatecafe 描き起こしビジュアル アクリルスタンドコレクションEグループ」,アニメイト,未落图｜仍留在B01继续追,,Animate Cafe官方,https://www.animatecafe.jp/event/ac000710,,0,官方活动/商品线确认；未回收到可本地化的精确商品像素，不用零售/二手图顶替
22,KR-MER-0261,鬼龍紅郎 「あんさんぶるスターズ!! あんスタ10thフェス×animatecafe CoLotta vol.6(トレーディングアクリルプレートキーホルダー)3グループ」,アニメイト,未落图｜仍留在B01继续追,,Animate Cafe官方,https://www.animatecafe.jp/event/ac000710,,0,官方活动/商品线确认；Animate官方商品图片接口回收受阻，未用零售/二手图顶替
23,KR-MER-0325,鬼龍紅郎 「あんさんぶるスターズ!! あんスタ10thフェス×animatecafe 描き起こしビジュアル キラキラステッカーコレクションEグループ」,アニメイト,未落图｜仍留在B01继续追,,Animate Cafe官方,https://www.animatecafe.jp/event/ac000710,,0,官方活动/商品线确认；未回收到可本地化的精确商品像素，不用零售/二手图顶替
24,KR-MER-0862,鬼龍紅郎 「あんさんぶるスターズ!! あんスタ10thフェス×animatecafe 描き起こしビジュアル 缶バッジコレクションEグループ」,アニメイト,未落图｜仍留在B01继续追,,Animate Cafe官方,https://www.animatecafe.jp/event/ac000710,,0,官方活动/商品线确认；未回收到可本地化的精确商品像素，不用零售/二手图顶替
25,KR-MER-0926,鬼龍紅郎 コースター 「あんさんぶるスターズ!! あんスタ10thフェス×animatecafe」 ドリンク注文特典,アニメイト,未落图｜仍留在B01继续追,,Animate Cafe官方,https://www.animatecafe.jp/event/ac000710,,0,官方活动/订单特典规则确认；鬼龍紅郎对应成品像素尚未回收
26,KR-MER-0927,鬼龍紅郎 「Ensemble Stars!! Cast Live Starry Symphony - Superbloom -×animatecafe 描き起こしビジュアル アクリルスタンドコレクション Cグループ」,アニメイト,未落图｜仍留在B01继续追,,Animate官方通販 / Animate Cafe,https://www.animate-onlineshop.jp/sphone/products/disp_image.php?id=3543081,,0,官方精确商品ID 3543081 已定位；官方图片接口403，像素尚未回收
27,KR-MER-0928,鬼龍紅郎 「Ensemble Stars!! Cast Live Starry Symphony - Superbloom -×animatecafe 描き起こしビジュアル 缶バッジコレクション Cグループ」,アニメイト,未落图｜仍留在B01继续追,,Animate官方通販 / Animate Cafe,https://www.animate-onlineshop.jp/sphone/products/disp_image.php?id=3543086,,0,官方精确商品ID 3543086 已定位；官方图片接口403，像素尚未回收
28,KR-MER-0929,鬼龍紅郎 「Ensemble Stars!! Cast Live Starry Symphony - Superbloom -×animatecafe 描き起こしビジュアル シルキーステッカーコレクション Cグループ」,アニメイト,未落图｜仍留在B01继续追,,Animate官方通販 / Animate Cafe,https://www.animate-onlineshop.jp/sphone/products/disp_image.php?id=3543091,,0,官方精确商品ID 3543091 已定位；官方图片接口403，像素尚未回收
29,KR-MER-0930,鬼龍紅郎 「Ensemble Stars!! Cast Live Starry Symphony - Superbloom -×animatecafe チケット型キーホルダーコレクション 3グループ」,アニメイト,未落图｜仍留在B01继续追,,Animate官方通販 / Animate Cafe,https://www.animate-onlineshop.jp/sphone/products/disp_image.php?id=3543096,,0,官方精确商品ID 3543096 已定位；官方图片接口403，像素尚未回收
30,KR-MER-0931,鬼龍紅郎 コースター 「Ensemble Stars!! Cast Live Starry Symphony - Superbloom -×animatecafe」 メニュー注文特典,アニメイト,未落图｜仍留在B01继续追,,Animate Cafe官方,https://www.animatecafe.jp/event/ac000792,,0,官方活动/菜单特典规则确认；鬼龍紅郎对应成品像素尚未回收
31,KR-MER-0293,鬼龍紅郎 おやすみver. 「もちもちマスコット あんさんぶるスターズ!! vol.13」 アニメイトBOX購入特典,アニメイト/エスケイジャパン,已落图并写入网页,assets/images/KR-MER-0293.jpg,SK JAPAN官方,https://www.sk-japan.co.jp/mochimochi/archive/25110607,800×569,39.6,SK JAPAN官方商品页；Animate BOX特典「鬼龍紅郎 おやすみver.」官图
32,KR-MER-0294,鬼龍紅郎 おなまえ☆ぬいホルダー vol.7 「あんさんぶるスターズ!!」,エスケイジャパン,已落图并写入网页,assets/images/KR-MER-0294.webp,SK JAPAN官方,https://mochi2.shop-pro.jp/?pid=192306766,800×800,32.8,SK JAPAN品牌直营商品页；鬼龍紅郎角色图
33,KR-MER-0354,鬼龍紅郎 「あんさんぶるスターズ!! みにコレ!ミニフォトフレームキーチェーン Vol.4」,エスケイジャパン,已落图并写入网页,assets/images/KR-MER-0354.jpg,SK JAPAN官方,https://www.sk-japan.co.jp/capsule-toy/archive/2502-enstarsphoto4,420×660,67.8,SK JAPAN官方阵容图裁切
