ID,商品,分组,状态,图片URL,文件名
KR-MER-0057,鬼龍紅郎(A/青春が紡ぐ硬い糸/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,Bright me up!! 官方展览商品,Pattythree官方｜IDOL SHOWCASE 鬼龍紅郎 A 精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_1277a345-c518-4bb6-9a6d-ba282bd4633c.jpg?v=1766051937&width=1946,KR-MER-0057.jpg
KR-MER-0058,鬼龍紅郎(B/明日へ繋ぐ瘢痕/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,Bright me up!! 官方展览商品,Pattythree官方｜IDOL SHOWCASE 鬼龍紅郎 B 精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_d149d390-a31a-4034-bd8e-0d460b9eb629.jpg?v=1766051937&width=1946,KR-MER-0058.jpg
KR-MER-0059,鬼龍紅郎(C/在りし日の風来坊/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,Bright me up!! 官方展览商品,Pattythree官方｜IDOL SHOWCASE 鬼龍紅郎 C 精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_5000935e-c8fa-45cb-b38a-0bf2690ab76f.jpg?v=1766051937&width=1946,KR-MER-0059.jpg
KR-MER-0060,鬼龍紅郎(D/欲望の宝石商/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,Bright me up!! 官方展览商品,Pattythree官方｜IDOL SHOWCASE 鬼龍紅郎 D 精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_1560969b-c1ca-4c77-ab10-6571b0f3492a.jpg?v=1766051937&width=1946,KR-MER-0060.jpg
KR-MER-0061,鬼龍紅郎(E/剛勇ドラゴン/才能開花後) IDOL SHOWCASE アクリルスタンド＜紅月＞,Bright me up!! 官方展览商品,Pattythree官方｜IDOL SHOWCASE 鬼龍紅郎 E 精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_3d349280-92ae-4567-baa1-1e8a1259d6bf.jpg?v=1766051937&width=1946,KR-MER-0061.jpg
KR-MER-0062,鬼龍紅郎 SPOTLIGHT SHUFFLE アクリルスタンド 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,Bright me up!! 官方展览商品,Pattythree官方｜SPOTLIGHT 鬼龍紅郎精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_d505987c-784c-4ae9-846c-ba457268b566.jpg?v=1766645692&width=1946,KR-MER-0062.jpg
KR-MER-0063,鬼龍紅郎 カスタムアイドル キーリング 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,Bright me up!! 官方展览商品,Pattythree官方｜Custom Idol Keyring Rhythm Link 鬼龍紅郎精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_7a6cf907-a9ba-4610-bcdc-5ab43aedabff.jpg?v=1779782574&width=1946,KR-MER-0063.jpg
KR-MER-0064,鬼龍紅郎 フェスティバルシリーズ ネームカードホルダー 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,Bright me up!! 官方展览商品,待我恢复,,
KR-MER-0065,鬼龍紅郎 スフィアリングシリーズ ヘアクリップ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,Bright me up!! 官方展览商品,Pattythree官方｜Sphere Ring 鬼龍紅郎精确角色图,https://pattythree-shop-product.jp/cdn/shop/files/1_20d9d0aa-d04a-48f8-be13-06ad2e088afb.jpg?v=1778493351&width=1946,KR-MER-0065.jpg
KR-MER-0066,鬼龍紅郎 P.A.shots!!(ユニットビジュアル) 「10周年展示会 Bright me up!!」 対象商品購入特典,Bright me up!! 官方展览商品,待我恢复,,
