ID,商品名,中文名,厂商,本轮状态,官图URL/官方页URL,备注
KR-MER-0049,鬼龍紅郎(紅月) アクリルスタンド 「あんさんぶるスターズ!! 追憶セレクション『クロスロード』」,Crossroad 红月服亚克力立牌,pattythree,本轮未命中可靠官页,,本轮已扫｜未命中足够可靠的目标官页；不拿零售/二手图顶替，进入官源尾池。
KR-MER-0115,鬼龍紅郎 「あんさんぶるスターズ!! gracolle P.A.shots!! ES 8th Anniversary」,8周年 gracolle P.A.shots!!,pattythree,官页定位待原图,,本轮已扫｜Pattythree官方精确商品页/商品线已定位；目标官图像素待回收，先进入尾池。
KR-MER-0134,鬼龍紅郎 イベコレ缶バッジ [2024 SPRING] -Idol Side-,イベコレ 2024 SPRING Idol,pattythree,本轮未命中可靠官页,,本轮已扫｜未命中足够可靠的目标官页；不拿零售/二手图顶替，进入官源尾池。
KR-MER-0135,鬼龍紅郎 テーマスカウト缶バッジ [2023 AUTUMN] -Idol Side-,主题Scout 2023 AUTUMN Idol,pattythree,可下载官图,https://pattythree-shop-product.jp/products/pt-000531s,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0136,鬼龍紅郎 テーマスカウト缶バッジ [2023 AUTUMN] -Casual Side-,主题Scout 2023 AUTUMN Casual,pattythree,可下载官图,https://pattythree-shop-product.jp/products/pt-000532s,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0137,鬼龍紅郎 フィーチャースカウト缶バッジ [2021 AUTUMN] -Idol Side-,Feature Scout 2021 AUTUMN Idol,pattythree,本轮未命中可靠官页,,本轮已扫｜未命中足够可靠的目标官页；不拿零售/二手图顶替，进入官源尾池。
KR-MER-0138,鬼龍紅郎 フィーチャースカウト2缶バッジ [2023 AUTUMN] -Idol Side-,Feature Scout2 2023 AUTUMN Idol,pattythree,可下载官图,https://pattythree-shop-product.jp/products/pt-000533s,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0141,鬼龍紅郎 コレクション缶バッジ [2024 Oct.] -Idol Side-,Collection徽章 2024 Oct. Idol,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/files/1_7d9eadae-9653-4df2-be8c-5b73badfce64.png?v=1729058961&width=1946,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0142,鬼龍紅郎 コレクション缶バッジ [2025 Jan.] -Casual Side-,Collection徽章 2025 Jan. Casual,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/files/1_432fd33c-b0e4-4549-b149-da2dd802f75c.png?v=1737443695&width=1946,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0143,鬼龍紅郎 コレクション缶バッジ [2025 May] -Idol Side-,Collection徽章 2025 May Idol,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/files/1_10901bf3-ca37-4d85-861e-0717de5dce6c.png?v=1747375303&width=1946,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0145,鬼龍紅郎 コレクション缶バッジ [2026 Feb.] -Idol Side-,Collection徽章 2026 Feb. Idol,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/files/1_7fad6873-5509-460d-b0a9-32b92dfc60d8.png?v=1771558993&width=1946,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0146,鬼龍紅郎 コレクション缶バッジ [2026 Feb.] -Casual Side-,Collection徽章 2026 Feb. Casual,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/files/1_2c4c9592-1e0d-4490-979e-64af205cdbf0.png?v=1771558991&width=1946,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
KR-MER-0187,鬼龍紅郎 「あんさんぶるスターズ!! テーマスカウト缶バッジ [2022 WINTER] -Idol Side-」,主题Scout 2022 WINTER Idol,pattythree,本轮未命中可靠官页,,本轮已扫｜未命中足够可靠的目标官页；不拿零售/二手图顶替，进入官源尾池。
KR-MER-0190,鬼龍紅郎 「あんさんぶるスターズ!! バナーバッジコレクション SEASON1 SPOTLIGHT ver.」,SPOTLIGHT Banner徽章,pattythree,官页定位待原图,,本轮已扫｜Pattythree官方精确商品页/商品线已定位；目标官图像素待回收，先进入尾池。
KR-MER-0191,鬼龍紅郎 「あんさんぶるスターズ!! gracolle CANBA!! ES 9th Anniversary FLARE」,gracolle 9周年 FLARE,pattythree,官页定位待原图,,本轮已扫｜Pattythree官方精确商品页/商品线已定位；目标官图像素待回收，先进入尾池。
KR-MER-0192,鬼龍紅郎 「あんさんぶるスターズ!! コレクション缶バッジ[2025 Jan.]-Idol Side-」,Collection徽章 2025 Jan. Idol,pattythree,可下载官图,https://pattythree-shop-product.jp/cdn/shop/files/1_62cf9ca6-3c8e-4b50-89a9-e552829fef21.png?v=1737443700&width=1946,Pattythree官方｜官方商品样品图已回收；若为BOX/阵容图，本地化阶段再裁鬼龍紅郎。
