index,ID,商品名,中文名,厂商,本轮状态,官图URL/官方页URL,备注
0,KR-MER-0197,SP26[スペシャルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム4」,Clear Card Collection Gum 4 SP26,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
1,KR-MER-0201,BOX23[プロモーションカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム11」初回限定BOX購入特典,Clear Card Gum 11 BOX购买特典,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
2,KR-MER-0491,No.26[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム」,Clear Card 初代 No.26 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
3,KR-MER-0492,No.57[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム」,Clear Card 初代 No.57 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
4,KR-MER-0493,No.88[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム2」,Clear Card Vol.2 No.88 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
5,KR-MER-0494,No.119[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム2」,Clear Card Vol.2 No.119 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
6,KR-MER-0495,No.151[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム3」,Clear Card Vol.3 No.151 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
7,KR-MER-0496,No.184[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム3」,Clear Card Vol.3 No.184 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
8,KR-MER-0497,SP18[スペシャルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム3」,Clear Card Vol.3 SP18 / Special,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
9,KR-MER-0498,No.217[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム4」,Clear Card Vol.4 No.217 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
10,KR-MER-0499,No.250[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム4」,Clear Card Vol.4 No.250 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
11,KR-MER-0500,No.285[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム5」,Clear Card Vol.5 No.285 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
12,KR-MER-0501,No.321[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム5」,Clear Card Vol.5 No.321 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
13,KR-MER-0502,No.357[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム6」,Clear Card Vol.6 No.357 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
14,KR-MER-0503,No.394[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム7」,Clear Card Vol.7 No.394 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
15,KR-MER-0504,SP72[スペシャルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム7」,Clear Card Vol.7 SP72 / Special,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
16,KR-MER-0505,No.431[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム8」,Clear Card Vol.8 No.431 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
17,KR-MER-0506,No.472[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム9」,Clear Card Vol.9 No.472 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
18,KR-MER-0507,No.513[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム10」,Clear Card Vol.10 No.513 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
19,KR-MER-0508,SP114[スペシャルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム10」,Clear Card Vol.10 SP114 / Special,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
20,KR-MER-0509,No.554[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム11」,Clear Card Vol.11 No.554 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
21,KR-MER-0510,No.591[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ! クリアカードコレクションガム12」,Clear Card Vol.12 No.591 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
22,KR-MER-0511,No.039[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ!! クリアカードコレクションガム」,Clear Card !! 初代 No.039 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
23,KR-MER-0512,No.091[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ!! クリアカードコレクションガム2」,Clear Card !! Vol.2 No.091 / Normal,エンスカイ,可下载官图,https://www.enskyshop.com/html/upload/save_image/0509164006_6459f8d6600f5.jpg,Ensky Shop精确商品页命中!! Collection Gum 2；官方完整阵容图可下载。商品页：https://www.enskyshop.com/products/detail/23334
24,KR-MER-0513,SP.33[スペシャルカード]：鬼龍紅郎 「あんさんぶるスターズ!! クリアカードコレクションガム2」,Clear Card !! Vol.2 SP.33 / Special,エンスカイ,可下载官图,https://www.enskyshop.com/html/upload/save_image/0509164006_6459f8d6600f5.jpg,Ensky Shop精确商品页命中!! Collection Gum 2；官方完整阵容图可下载。商品页：https://www.enskyshop.com/products/detail/23334
25,KR-MER-0514,No.140[ノーマルカード]：鬼龍紅郎 「あんさんぶるスターズ!! クリアカードコレクションガム3」,Clear Card !! Vol.3 No.140 / Normal,エンスカイ,官方系列确认待精确页,https://www.enskyshop.com/products/list?character_id=787,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
26,KR-MER-0015,鬼龍紅郎 「あんさんぶるスターズ! ビジュアル色紙コレクション12」,视觉色纸 Collection 12,エンスカイ,可下载官图,https://news.ensky.co.jp/wp-content/uploads/2022/10/ansta_shikishi12.jpg,Ensky官方NEWS精确命中Collection 12；官方阵容图可直接下载。商品页：https://news.ensky.co.jp/2457/
27,KR-MER-0022,鬼龍紅郎 「あんさんぶるスターズ! ビジュアル色紙コレクション20」,视觉色纸 Collection 20,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/category/ensemble-stars/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
28,KR-MER-0193,鬼龍紅郎 「あんさんぶるスターズ! ビジュアル色紙コレクション」,视觉色纸 Collection 1,エンスカイ,官方系列确认待精确页,https://news.ensky.co.jp/category/ensemble-stars/,本轮已扫｜仅确认Ensky官方商品线；当前版本精确官页/官图未锁定，不用零售/二手图顶替，进入官源尾池。（URL仅作官方商品线锚点，不作本版本精确页。）
