id	name	img	fb	src	srcdesc	size
KR-MER-0055	鬼龍紅郎(新ビジュアル) アクリルスタンド[紅月] 「あんさんぶるスターズ!!」		https://pattythree-shop-product.jp/cdn/shop/files/1_f481980a-89df-4f2d-a07e-6d7dc6a4c2f4.jpg?v=1736401817&width=1946	https://pattythree-shop-product.jp/cdn/shop/files/1_f481980a-89df-4f2d-a07e-6d7dc6a4c2f4.jpg?v=1736401817&width=1946	pattythree公式鬼龍紅郎角色商品图＋駿河屋精确商品档案	
KR-MER-0056	鬼龍紅郎 アクリルスタンド -Superbloom- ＜Day.1＞ 「あんさんぶるスターズ!! Cast Live Starry Symphony 4th -Superbloom-」		https://pattythree-shop-product.jp/cdn/shop/files/1_cf72265f-e8fb-4416-a7d4-39d290a13329.png?v=1765851735&width=1946	https://pattythree-shop-product.jp/cdn/shop/files/1_cf72265f-e8fb-4416-a7d4-39d290a13329.png?v=1765851735&width=1946	pattythree官方鬼龍紅郎商品CG	
KR-MER-0105	鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Vol.3 Private」	assets/images/KR-MER-0105.webp		https://pattythree-shop-product.jp/products/pt-000090s	pattythree官方阵容图裁切	(238, 336)
KR-MER-0116	鬼龍紅郎 「あんさんぶるスターズ!! gracolle P.A.shots!! ES 10th Anniversary」	assets/images/KR-MER-0116.webp		https://pattythree-shop-product.jp/products/pt-003152s	pattythree官方阵容图裁切＋二级实物交叉验真	(255, 360)
KR-MER-0121	鬼龍紅郎 ななめ/アクスタ vol.1 「あんさんぶるスターズ!!」	assets/images/KR-MER-0121.webp	https://tc-animate.techorus-cdn.com/resize_image/resize_image.php?image=02091317_63e473db0ea91.jpg	https://tc-animate.techorus-cdn.com/resize_image/resize_image.php?image=02091317_63e473db0ea91.jpg	Animate鬼龍紅郎精确角色商品官方主图	(800, 800)
KR-MER-0238	鬼龍紅郎 アクリルスタンド 「あんさんぶるスターズ!」 夢ノ咲学院購買部限定	assets/images/KR-MER-0238.webp		https://a-onstore.jp/item/item-1000216112/	A-on STORE官方角色商品图＋駿河屋角色商品档案	(360, 512)
KR-MER-0358	鬼龍紅郎 カスタムアイドル チャーム ミニキャラ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」		https://pattythree-shop-product.jp/cdn/shop/files/1_5e0eff13-99a4-4864-b8c0-16bd2e6b73f9.jpg?v=1779782554&width=1445	https://pattythree-shop-product.jp/cdn/shop/files/1_5e0eff13-99a4-4864-b8c0-16bd2e6b73f9.jpg?v=1779782554&width=1445	pattythree官方鬼龍紅郎商品CG＋駿河屋角色档案	
KR-MER-0384	鬼龍紅郎 フレフレスケルトンうちわDX 「あんさんぶるスターズ!!」	assets/images/KR-MER-0384.webp	https://img.amiami.jp/images/product/main/224/GOODS-04288549.jpg	https://img.amiami.jp/images/product/main/224/GOODS-04288549.jpg	AmiAmi/amie鬼龍紅郎独立官方商品主图	(600, 600)
KR-MER-0385	鬼龍紅郎 フレフレスケルトンうちわDX～ブラック☆ラメ～ 「あんさんぶるスターズ!!」	assets/images/KR-MER-0385.webp	https://img.amiami.jp/images/product/main/244/GOODS-04536697.jpg	https://img.amiami.jp/images/product/main/244/GOODS-04536697.jpg	AmiAmi/amie鬼龍紅郎独立官方商品主图	(600, 600)
KR-MER-0388	鬼龍紅郎 クリアポーチ 「あんさんぶるスターズ!!」		https://www.enskyshop.com/html/upload/save_image/0325154629_69c384c5482ad.jpg	https://www.enskyshop.com/html/upload/save_image/0325154629_69c384c5482ad.jpg	エンスカイショップ鬼龍紅郎官方商品CG	
KR-MER-0390	鬼龍紅郎 ハート型スライドミラー 「あんさんぶるスターズ!! 追憶セレクション『クロスロード』」	assets/images/KR-MER-0390.webp		https://www.hobbystock.jp/item/view/hso-ccg-00015248	Crossroad封口图片工程	(800, 800)
KR-MER-0448	鬼龍紅郎 「あんさんぶるスターズ!! フレフレスケルトンうちわmini vol.4」	assets/images/KR-MER-0448.webp	https://img.amiami.jp/images/product/review/244/GOODS-04536725_07.jpg	https://img.amiami.jp/images/product/review/244/GOODS-04536725_07.jpg	AmiAmi官方鬼龍紅郎独立商品图	(800, 800)
KR-MER-0449	あんさんぶるスターズ!! ステラフォトsparkle Vol.2-B 10.鬼龍紅郎	assets/images/KR-MER-0449.webp	https://img.amiami.jp/images/product/main/262/GOODS-04811454.jpg	https://img.amiami.jp/images/product/main/262/GOODS-04811454.jpg	AmiAmi/amie鬼龍紅郎独立官方预约商品主图	(600, 600)
