周边ID,中文简记,正式商品名,厂商/渠道,清理判定,判定理由,处理动作,清理前图片状态,清理前本地图,清理前Fallback,图片来源说明,图片来源URL,图片类型
KR-MER-0001,迷你文件夹 Collection B,14.鬼龍紅郎 「あんさんぶるスターズ ミニクリアファイルコレクション B」,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/994931300.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/994931300.jpg.webp,档案单品原图
KR-MER-0002,亚克力徽章 Collection B,鬼龍紅郎 「あんさんぶるスターズ! アクリルバッジコレクションB」,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871526000.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871526000.jpg.webp,档案单品原图
KR-MER-0003,AGF2015 长方圆角徽章,鬼龍紅郎 「あんさんぶるスターズ! まるかく缶バッジ」 AGF2015,エンスカイ,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871676213.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871676213.jpg.webp,档案单品原图
KR-MER-0004,Idol Special Days 徽章 Ver.B,鬼龍紅郎 「あんさんぶるスターズ! キャラバッジコレクション Idol Special Days Ver.B」,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0004.webp,,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871542633.jpg.webp,档案单品原图
KR-MER-0005,1周年 箔押签名小海报/生写真,【レア】鬼龍紅郎(箔押しサイン入り) 「あんさんぶるスターズ! ミニポスターコレクション(ブロマイド) ～1st Anniversary～」,ムービック,非官图已撤,非官方图片来源：static.mercdn.net,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0005.webp,https://static.mercdn.net/item/detail/orig/photos/m85523780366_1.jpg?1620569917,Mercari鬼龍紅郎精确1st Anniversary箔押Rare单品实物＋駿河屋角色档案,https://static.mercdn.net/item/detail/orig/photos/m85523780366_1.jpg?1620569917,精确二手角色Rare实物图
KR-MER-0006,C90 红郎&铁虎 亚克力挂件,鬼龍紅郎＆南雲鉄虎 「あんさんぶるスターズ! トレーディングアクリルキーホルダー」 C90グッズ,講談社,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/508015079.jpg.webp,駿河屋组合单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/508015079.jpg.webp,档案单品原图
KR-MER-0007,AGF2016 纪念橡胶挂件,鬼龍紅郎 「あんさんぶるスターズ! AGF記念ラバーストラップコレクション」 AGF2016,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,assets/images/KR-MER-0007.webp,https://cdn.suruga-ya.jp/database/pics_webp/game/608563854.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/608563854.jpg.webp,档案单品原图
KR-MER-0008,寿屋×Movic 橡胶挂件 Vol.4,鬼龍紅郎 「あんさんぶるスターズ! コトブキヤ×ムービック ラバーストラップコレクション Vol.4」,ムービック,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/608457875.jpg.webp,駿河屋角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/608457875.jpg.webp,档案单品原图
KR-MER-0009,Animate Cafe 2017 饼干罐附徽章,鬼龍紅郎 缶バッジ(2017ver.) 「あんさんぶるスターズ!×animatecafe 缶入りクッキー」 同梱品,アニメイト,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/database/pics_webp/game/871332613.jpg.webp,駿河屋鬼龍紅郎角色单品档案原图,https://cdn.suruga-ya.jp/database/pics_webp/game/871332613.jpg.webp,档案单品原图
KR-MER-0011,2周年感谢祭角色徽章,鬼龍紅郎 「あんさんぶるスターズ！2nd Anniversary 感謝祭 キャラバッジコレクション」,公式イベント,非官图已撤,非官方图片来源：cdn.suruga-ya.jp,从网页展示层撤下；不补图,实图已入库,,https://cdn.suruga-ya.jp/pics_webp/boxart_m/871036948m.jpg.webp,駿河屋角色買取档案缩略图,https://cdn.suruga-ya.jp/pics_webp/boxart_m/871036948m.jpg.webp,档案缩略图・待大图升级
