周边ID,图片形式,商品名,当前图片,图片来源说明,图片来源URL,本轮动作,本轮原因
KR-MER-0055,外链,鬼龍紅郎(新ビジュアル) アクリルスタンド[紅月] 「あんさんぶるスターズ!!」,https://pattythree-shop-product.jp/cdn/shop/files/1_f481980a-89df-4f2d-a07e-6d7dc6a4c2f4.jpg?v=1736401817&width=1946,pattythree公式鬼龍紅郎角色商品图＋駿河屋精确商品档案,https://pattythree-shop-product.jp/cdn/shop/files/1_f481980a-89df-4f2d-a07e-6d7dc6a4c2f4.jpg?v=1736401817&width=1946,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0056,外链,鬼龍紅郎 アクリルスタンド -Superbloom- ＜Day.1＞ 「あんさんぶるスターズ!! Cast Live Starry Symphony 4th -Superbloom-」,https://pattythree-shop-product.jp/cdn/shop/files/1_cf72265f-e8fb-4416-a7d4-39d290a13329.png?v=1765851735&width=1946,pattythree官方鬼龍紅郎商品CG,https://pattythree-shop-product.jp/cdn/shop/files/1_cf72265f-e8fb-4416-a7d4-39d290a13329.png?v=1765851735&width=1946,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0105,本地,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Vol.3 Private」,assets/images/KR-MER-0105.webp,pattythree官方阵容图裁切,https://pattythree-shop-product.jp/products/pt-000090s,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0116,本地,鬼龍紅郎 「あんさんぶるスターズ!! gracolle P.A.shots!! ES 10th Anniversary」,assets/images/KR-MER-0116.webp,pattythree官方阵容图裁切＋二级实物交叉验真,https://pattythree-shop-product.jp/products/pt-003152s,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0121,本地,鬼龍紅郎 ななめ/アクスタ vol.1 「あんさんぶるスターズ!!」,assets/images/KR-MER-0121.webp,Animate鬼龍紅郎精确角色商品官方主图,https://tc-animate.techorus-cdn.com/resize_image/resize_image.php?image=02091317_63e473db0ea91.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0213,本地,鬼龍紅郎 「あんさんぶるスターズ!! P.A.shots!! Extra -夢ノ咲Memorial- Action」,assets/images/KR-MER-0213.webp,pattythree官方阵容图裁切＋二级实物交叉验真,https://pattythree-shop-product.jp/products/pt-000811s,撤图,官方阵容裁切仅174×243，详情页放大明显模糊，撤出展示层，待更高清官方样品图
KR-MER-0238,本地,鬼龍紅郎 アクリルスタンド 「あんさんぶるスターズ!」 夢ノ咲学院購買部限定,assets/images/KR-MER-0238.webp,A-on STORE官方角色商品图＋駿河屋角色商品档案,https://a-onstore.jp/item/item-1000216112/,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0358,外链,鬼龍紅郎 カスタムアイドル チャーム ミニキャラ 「あんさんぶるスターズ!! 10周年展示会 Bright me up!!」,https://pattythree-shop-product.jp/cdn/shop/files/1_5e0eff13-99a4-4864-b8c0-16bd2e6b73f9.jpg?v=1779782554&width=1445,pattythree官方鬼龍紅郎商品CG＋駿河屋角色档案,https://pattythree-shop-product.jp/cdn/shop/files/1_5e0eff13-99a4-4864-b8c0-16bd2e6b73f9.jpg?v=1779782554&width=1445,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0384,本地,鬼龍紅郎 フレフレスケルトンうちわDX 「あんさんぶるスターズ!!」,assets/images/KR-MER-0384.webp,AmiAmi/amie鬼龍紅郎独立官方商品主图,https://img.amiami.jp/images/product/main/224/GOODS-04288549.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
KR-MER-0385,本地,鬼龍紅郎 フレフレスケルトンうちわDX～ブラック☆ラメ～ 「あんさんぶるスターズ!!」,assets/images/KR-MER-0385.webp,AmiAmi/amie鬼龍紅郎独立官方商品主图,https://img.amiami.jp/images/product/main/244/GOODS-04536697.jpg,保留,本轮通过：人物/商品对应未发现明显冲突；来源属于官方或官方商品样品体系
